Author, Basename, URL
Megaf, green_screen, https://github.com/Megaf/green_screen/
RHR, lantern, https://github.com/RHRhino/lantern/
redyeti, replicator, https://github.com/redyeti/minetest-replicator/
rubenwardy, chatplus, https://github.com/rubenwardy/chatplus/
Mitroman, github, https://github.com/Mitroman/match/archive/master.zip
Megaf, fire, https://github.com/Megaf/fire/
Excalibur Zero, brazier, https://github.com/ExcaliburZero/brazier/
PilzAdam, alias, http://ompldr.org/vZjNhcQ/alias.zip
deivan, nt, http://www.novoseusadosinformatica.com.br/arq/minetest/DOM-modpack-nt.zip
rubenwardy, jump, https://github.com/rubenwardy/jump/
scifiboi, thaumtest, https://www.dropbox.com/s/kakkrxu3voapx3d/thaumtest.zip
paramat, fracture, https://github.com/paramat/fracture/
DanteLives, scaffolding, https://bitbucket.org/DanteLives/scaffolding/
paramat, highlandpools, https://github.com/paramat/highlandpools/
addi, db, https://bitbucket.org/adrido/db/
ElectricSolstice, voltbuild, https://github.com/ElectricSolstice/voltbuild/
Evergreen, ban_hammer, https://github.com/4Evergreen4/ban_hammer/
SegFault22, components, https://drive.google.com/folderview?id=0B1s9eokqvkOKd2d2VUhUdm41Wnc&usp=sharing
SegFault22, glowcrystals, https://drive.google.com/folderview?id=0B1s9eokqvkOKRjg5UzVHZkNGLUE&usp=sharing
Splizard, gates, https://github.com/Splizard/minetest-mod-gates/
paramat, watershedminimal, https://github.com/paramat/watershedminimal/
rubenwardy, food_sweet, https://github.com/rubenwardy/food_sweet/
Krock, player_notes, https://github.com/SmallJoker/player_notes/
rubenwardy, diet, https://github.com/rubenwardy/diet/
kaeza, intllib, https://github.com/kaeza/minetest-intllib/
cornernote, deploy_nodes, https://github.com/cornernote/minetest-deploy_nodes/
cornernote, workbench, https://github.com/cornernote/minetest-workbench/
paramat, dysoncube, https://github.com/paramat/dysoncube/
Zeg9, weirdores, https://github.com/Zeg9/minetest-weirdores/
kotolegokot, money, https://github.com/Kotolegokot/minetest-mod-money/
paramat, trail, https://github.com/paramat/trail/
pagliaccio, laser_mod, https://github.com/pagliaccio/laser_mod/
webdesigner97, camouflage, https://www.dropbox.com/s/39hu8s6xzb65vgp/camouflage.zip
BlockMen, flint, https://www.dropbox.com/s/23dsmjpws3kk2ox/flint-0_2-BlockMen.zip
wulfsdad, my_mobs, http://www.flickr.com/photos/hildigerr/8273410963/
Mitroman, clock, https://github.com/Mitroman/Clock-Mod/
Aqua, flooring, http://ompldr.org/vZ2tteA
jojoa1997, display_blocks, https://github.com/jojoa1997/display_blocks/
12Me21, energy, http://ompldr.org/vaTBmcg/energy.zip
Aqua, night_vision, http://ompldr.org/vZ3dlMg
khonkhortisan, rubiks, https://github.com/khonkhortisan/rubiks/
cosarara97, points, http://lua-users.org/files/wiki_insecure/users/chill/table.save-1.0.lua
Belgac, plantaging, http://ompldr.org/vZjVjbg/defaultgrow.rar
ShadowNinja, whitelist, https://github.com/ShadowNinja/whitelist/
Nemo08, roof, https://github.com/celeron55/minetest/tags
paramat, overgen, https://github.com/paramat/overgen/
cornernote, armor, https://github.com/cornernote/minetest-armor/
Bas080, flags, https://github.com/bas080/flags/
mrtux, infinitytools, https://github.com/vortexlabs/Infinity-Tools-mod
paramat, stability, https://github.com/paramat/stability/
PilzAdam, 3d_player, https://github.com/PilzAdam/3d_player/
thefamilygrog66, lrfurn, https://github.com/thefamilygrog66/lrfurn/
Aqua, titanium, http://ompldr.org/vZmphZw
cornernote, inventory_plus, https://github.com/cornernote/minetest-inventory_plus/
Bas080, jungletree, https://github.com/bas080/habitat/zipball/master
paramat, rainforest, https://github.com/paramat/rainforest/
rubenwardy, smartfs, https://github.com/rubenwardy/smartfs/
Hiradur, player_hash_skins, https://github.com/Hiradur/player_hash_skin
kotolegokot, locked_furnace, https://github.com/Kotolegokot/minetest-mod-locked_furnace/
Chinchow, extrachests, http://www.mediafire.com/?bsa52g6sqil91s1
Enke, inlaid, https://github.com/NANOsoldierEnke/Inlaid/
Evergreen, death_messages, https://github.com/4Evergreen4/death_messages/
ironzorg, magic_latern, http://mediafire.com/?7yaczanysm5s5mc
kaeza, no_guests, http://xkcd.com/859/
cornernote, home_gui, https://github.com/cornernote/minetest-home_gui/
Casimir, stoneage, https://github.com/CasimirKaPazi/stoneage/
paramat, archipelago, https://github.com/paramat/archipelago/
ShadowNinja, memo, https://github.com/ShadowNinja/memo/
Minearriatest, jungletools, https://github.com/asgasg/jungletools/
RAPHAEL, weed, http://ompldr.org/vZXg2dQ/weed.zip
Traxie21, serverextended, https://github.com/Traxie21/ServerExtended/
deivan, watch, http://www.novoseusadosinformatica.com.br/arq/minetest/DOM-modpack-watch.zip
qwrwed, lightsplus, https://github.com/qwrwed/lightsplus/
Casimir, hunger, http://ompldr.org/vZ3Zsag/hunger%2020121229.zip
PilzAdam, stats, https://github.com/PilzAdam/stats/
paramat, multigrav, https://github.com/paramat/multigrav/
pandaro, player_radar, https://github.com/pandaro/player_radar/
Ragnar, terror, http://gnadev.hj.cx/Minetest/terror_0_0_1a.tar.bz2
qwrwed, grassblock, https://github.com/qwrwed/grassblock/
minermoder27, honeypots, https://github.com/minermoder27/minetest-honeypots/
rubenwardy, privilegeareas, https://github.com/rubenwardy/privilegeareas/
Echo, compass, https://github.com/xyzz/minetest-mods/tree/master/sethome
BlockMen, jukebox, https://www.dropbox.com/s/h7ojg0relazp9fr/jukebox-1_0-BlockMen.zip
Menche, desert_uses, https://gitorious.org/minetest_mods_menche/desert_uses
paramat, asteroid, https://github.com/paramat/asteroid/
cornernote, worldedit_gui, https://github.com/cornernote/minetest-worldedit_gui/
